id_star,type,Period,FAP,Amplitud,Rcs,Stetsonk,Mean_variance,Autocor_length,Con,Beyond1Std,SmallKurtosis,Std,Skew,MaxSlope,MedianAbsDev,MedianBRP,PairSlopeTrend,FluxPercentileRatioMid20,FluxPercentileRatioMid35,FluxPercentileRatioMid50,FluxPercentileRatioMid65,FluxPercentileRatioMid80,PercentDifferenceFluxPercentile,PercentAmplitude,LinearTrend,Eta_e,Mean,Q31,AndersonDarling,Gskew,StructureFunction_index_21,StructureFunction_index_31,StructureFunction_index_32,Pvar,ExcessVar
41259805,41259805_sector01_4_2_cleaned,1.712627318799251,3.0841613955430585e-272,0.015901500000000013,0.0835737660332833,0.8302931678855,0.0007308838148783457,12,0.0,0.4161237785016287,-0.9853794284886925,0.009663201344255442,-0.3149859144320051,0.2532815943299969,0.00683700000000087,0.3550488599348534,0.23333333333333334,0.10484717302899287,0.24790108881013398,0.5012462285189844,0.7418339236520857,0.9215525443748355,0.002305990110303317,0.0014959970932363021,-6.879030715237027e-05,0.014839745723111494,13.221255071661238,0.015245750000000058,1.0,-0.005306999999998396,1.9034028173518587,2.7607506622663696,1.4623315538914774,1.0,4.03049296320164e-07
25119807,EC,0.19329533214824482,0.0,0.1329805000000004,0.017705537348788603,0.8722080554324371,0.005025130862291136,2,0.0,0.3092105263157895,-1.0282101584997942,0.08309139326619343,0.5321533684844547,6.226693494352325,0.06089050000000107,0.20559210526315788,-0.03333333333333333,0.23109754653064213,0.40726249042538093,0.5719734358836664,0.7198093764065765,0.8467832789801363,0.015338299019374575,0.012286736090343947,-4.578245080556453e-05,0.5279428248319112,16.53517003700658,0.1444737499999995,1.0,0.11123899999999765,1.7803496371763632,2.408502632850928,1.3792561874788942,1.0,2.3303853191735903e-05
29431436,L,35.10813847342181,1.4366465341879855e-94,0.03855300000000028,0.24664450349274677,0.759233838723341,0.001477579733861051,5,0.0,0.1793372319688109,38.83042332500402,0.027143656348365602,3.4647414891732664,7.598926894683695,0.015137499999999804,0.9600389863547758,0.23333333333333334,0.1739029053770381,0.3196225652505165,0.46643038132100334,0.626684698969332,0.8153439153438982,0.0035015413852782663,0.016891729791871726,-0.0013752785899659424,0.4847866868891263,18.370349651072125,0.029953499999997746,1.0,-0.016445999999994854,1.6485900576965211,2.1418079151753417,1.3129055269796397,1.0165815824914067e-188,-6.121648702965199e-06
25078924,EB,0.4533647923780127,4.282382226688085e-256,0.03576749999999951,0.03609497697583333,0.7487043657347069,0.0010802104751926969,3,0.0,0.20431893687707642,3.3262906397223464,0.016302893686887483,1.6041488740504468,2.0941841525293263,0.008510999999998603,0.5514950166112956,0.1,0.14617494544216494,0.25727270907161426,0.37083308306802326,0.5031333213206021,0.6968882829416808,0.003310333473663757,0.00497858990279018,-7.352167479421951e-05,0.3064144759997319,15.092330671926911,0.01850150000000106,1.0,0.043392999999994686,1.6725071916372098,2.152393372676209,1.3266380274164027,1.0,5.942814519757286e-07
24232337,RRAB_BL,0.5379505426578453,4.823922069918018e-195,0.11070750000000018,0.07254743317811249,0.8175158859201056,0.0035691354358092097,4,0.0,0.34394341290893016,0.4441494975608187,0.06260215965936877,-0.7881332751849617,6.675864712066487,0.04186499999999782,0.47126436781609193,0.23333333333333334,0.18008044181750232,0.3186384099470182,0.4646535795588001,0.6266601333210853,0.8033014698744737,0.011160945588752379,0.016701826017015465,-7.93850822440353e-05,0.2004084662258979,17.53986666666667,0.09155250000000237,1.0,-0.084341000000002,1.3763071021464892,1.4428093993248297,1.0897262508200083,1.0,8.374210253686538e-06
25226885,EA,1.627766527539931,4.428896038052046e-61,0.06193900000000063,0.03755855042346885,0.5236468478232378,0.001603185238208505,4,0.0,0.07013201320132013,11.344466484597298,0.02586291372660538,3.4503740718127998,3.0249113729927757,0.0045530000000013615,0.8952145214521452,0.1,0.05149063910719183,0.08797176837230923,0.12401750727559453,0.15903205847980167,0.22764237073818439,0.005412797435088978,0.007846410461872318,-9.758887003591096e-06,0.1913824913050059,16.13220550577558,0.010812500000000114,1.0,0.11171199999999715,2.1832885004869547,3.4082730132076406,1.618605913382639,1.0,1.2374722490681722e-06
24750625,RRAB,0.5718787442058637,1.3006602813728362e-297,0.24622775000000097,0.035503530574484965,0.8646993540250876,0.007325779571361614,4,0.0,0.39146230699364215,-0.9755342121751518,0.14135531135898632,-0.29109028952670457,11.648853122517895,0.1068909999999974,0.24250681198910082,0.43333333333333335,0.21373815006233038,0.365816092910965,0.4979942467416103,0.6390148037954886,0.8332803549623927,0.023626673739600375,0.01663086718599715,-0.0005201956592300378,0.15847219527075182,19.295599871934606,0.22762800000000283,1.0,-0.0880134999999953,1.760757744872675,2.411863160500276,1.4008192113092504,1.0,3.5301742219691096e-05
180212670,DCEP-FU,26.69095665171898,0.0,0.14393225000000065,0.44887739908293434,0.907897846991074,0.005561844404649987,1115,0.0,0.44035874439461886,-1.414183572187444,0.09247189265764988,0.0685840226999571,1.8109610041156776,0.0904689999999988,0.17399103139013453,0.16666666666666666,0.30949424962642147,0.5311233858437497,0.6649952049244297,0.7643684996989034,0.8756670999169527,0.01617380312347879,0.010002620624319293,-0.006967936017162878,0.006913328757265103,16.62612002959641,0.17836149999999762,1.0,0.012669999999999959,1.779877639504637,2.4356921254680364,1.4169972193476978,1.0,2.8822019604188078e-05
24694801,ROT,9.064250620932212,5.132015164220097e-110,0.00996874999999875,0.1992609617978564,0.8144741512293251,0.0003121823379850258,46,0.0,0.32901134521880065,-0.29568998837965266,0.005325563403298666,-0.021168916641204197,0.5594641480304803,0.0038599999999995305,0.41572123176661263,0.23333333333333334,0.16284196246882976,0.28538322405604577,0.43172055166176354,0.5856319240334313,0.7788996029495515,0.001037081404852574,0.001007185886173329,-6.587517095720937e-06,0.4531300318361438,17.05914382495948,0.007642249999999962,0.9999554621722927,-0.0006979999999998654,1.810963999007352,2.5374916532425953,1.4382908741826017,0.0,-2.6312166671238696e-06
140687857,CEP,5.724172672578124,0.0,0.07385149999999996,0.12360836524409376,0.9038818666033992,0.0031657857090635214,48,0.0,0.4971887550200803,-1.5060367028301433,0.05239648027158749,0.08759711343585293,0.9943138010839851,0.052156999999997566,0.13172690763052208,0.16666666666666666,0.33463978062764677,0.5491094922859483,0.7249328310666782,0.8799338005152181,0.9555282963948669,0.008726661670000375,0.005260096056607933,-0.0009364251296118328,0.0026207232087162146,16.550861330120483,0.10471300000000028,1.0,0.012641000000002123,1.924933262073032,2.8091374308116497,1.461003738637128,1.0,8.192347461141192e-06
